till,from,marketPrice,priceIncludingMarkup
2022-04-04T00:00:00.000Z,2022-04-03T23:00:00.000Z,0.19,0.247
2022-04-04T01:00:00.000Z,2022-04-04T00:00:00.000Z,0.158,0.208
2022-04-04T02:00:00.000Z,2022-04-04T01:00:00.000Z,0.121,0.163
2022-04-04T03:00:00.000Z,2022-04-04T02:00:00.000Z,0.116,0.157
2022-04-04T04:00:00.000Z,2022-04-04T03:00:00.000Z,0.1,0.138
2022-04-04T05:00:00.000Z,2022-04-04T04:00:00.000Z,0.115,0.156
2022-04-04T06:00:00.000Z,2022-04-04T05:00:00.000Z,0.164,0.216
2022-04-04T07:00:00.000Z,2022-04-04T06:00:00.000Z,0.2,0.259
2022-04-04T08:00:00.000Z,2022-04-04T07:00:00.000Z,0.255,0.325
2022-04-04T09:00:00.000Z,2022-04-04T08:00:00.000Z,0.299,0.379
2022-04-04T10:00:00.000Z,2022-04-04T09:00:00.000Z,0.282,0.358
2022-04-04T11:00:00.000Z,2022-04-04T10:00:00.000Z,0.255,0.326
2022-04-04T12:00:00.000Z,2022-04-04T11:00:00.000Z,0.246,0.315
2022-04-04T13:00:00.000Z,2022-04-04T12:00:00.000Z,0.217,0.28
2022-04-04T14:00:00.000Z,2022-04-04T13:00:00.000Z,0.205,0.265
2022-04-04T15:00:00.000Z,2022-04-04T14:00:00.000Z,0.18,0.235
2022-04-04T16:00:00.000Z,2022-04-04T15:00:00.000Z,0.25,0.319
2022-04-04T17:00:00.000Z,2022-04-04T16:00:00.000Z,0.273,0.347
2022-04-04T18:00:00.000Z,2022-04-04T17:00:00.000Z,0.274,0.348
2022-04-04T19:00:00.000Z,2022-04-04T18:00:00.000Z,0.25,0.319
2022-04-04T20:00:00.000Z,2022-04-04T19:00:00.000Z,0.26,0.331
2022-04-04T21:00:00.000Z,2022-04-04T20:00:00.000Z,0.26,0.331
2022-04-04T22:00:00.000Z,2022-04-04T21:00:00.000Z,0.251,0.32
2022-04-04T23:00:00.000Z,2022-04-04T22:00:00.000Z,0.178,0.232
2022-04-05T00:00:00.000Z,2022-04-04T23:00:00.000Z,0.205,0.265
2022-04-05T01:00:00.000Z,2022-04-05T00:00:00.000Z,0.196,0.254
2022-04-05T02:00:00.000Z,2022-04-05T01:00:00.000Z,0.18,0.235
2022-04-05T03:00:00.000Z,2022-04-05T02:00:00.000Z,0.179,0.234
2022-04-05T04:00:00.000Z,2022-04-05T03:00:00.000Z,0.207,0.267
2022-04-05T05:00:00.000Z,2022-04-05T04:00:00.000Z,0.223,0.286
2022-04-05T06:00:00.000Z,2022-04-05T05:00:00.000Z,0.24,0.307
2022-04-05T07:00:00.000Z,2022-04-05T06:00:00.000Z,0.282,0.358
2022-04-05T08:00:00.000Z,2022-04-05T07:00:00.000Z,0.3,0.38
2022-04-05T09:00:00.000Z,2022-04-05T08:00:00.000Z,0.302,0.382
2022-04-05T10:00:00.000Z,2022-04-05T09:00:00.000Z,0.313,0.395
2022-04-05T11:00:00.000Z,2022-04-05T10:00:00.000Z,0.27,0.344
2022-04-05T12:00:00.000Z,2022-04-05T11:00:00.000Z,0.272,0.345
2022-04-05T13:00:00.000Z,2022-04-05T12:00:00.000Z,0.229,0.294
2022-04-05T14:00:00.000Z,2022-04-05T13:00:00.000Z,0.189,0.245
2022-04-05T15:00:00.000Z,2022-04-05T14:00:00.000Z,0.209,0.27
2022-04-05T16:00:00.000Z,2022-04-05T15:00:00.000Z,0.231,0.296
2022-04-05T17:00:00.000Z,2022-04-05T16:00:00.000Z,0.262,0.334
2022-04-05T18:00:00.000Z,2022-04-05T17:00:00.000Z,0.284,0.361
2022-04-05T19:00:00.000Z,2022-04-05T18:00:00.000Z,0.31,0.392
2022-04-05T20:00:00.000Z,2022-04-05T19:00:00.000Z,0.262,0.333
2022-04-05T21:00:00.000Z,2022-04-05T20:00:00.000Z,0.244,0.312
2022-04-05T22:00:00.000Z,2022-04-05T21:00:00.000Z,0.213,0.275
2022-04-05T23:00:00.000Z,2022-04-05T22:00:00.000Z,0.14,0.186
